,index,der_word,subtitle_ind,eng_sent,video_code,start,end,tokens,movie_dir,sinc,word_ind,ori_word,clip_index,_before_no,_after_no,before_text,after_text,_before_kor,_after_kor,word_meaning,verify
71,60302,list,268,Would you like to see the list?,BB505,650226,652177,would you like to see list,./bigbang,F,8,list,11,9,4,"I don't understand.
What differences does it make
if Leonard goes to Wil Wheaton's party?
Wil Wheaton is Sheldon's mortal enemy.
Mortal enemy?
Mm-hmm. Sheldon, I know you're a bit
of a left-handed monkey wrench, but...
you really have a mortal enemy?
In fact, I have 61 of them.","Oh, say no, say no, say no, say no.
You just got off the list.
Would you like back on it?
This'll just take a moment.","이해가 잘 안 돼
레너드가 윌 위튼 파티에 가든 말든
무슨 차이가 있어?
윌 위튼은 쉘든의 불구대천지원수야
불구대천지원수?
쉘든, 네가 비현실적으로
괴짜라는 건 알지만...
진짜 그 정도의 적(enemy)이 있어?
정확히 말하면 61명이 있지","Oh, 아니라고 말 해 아니라고 말 해.
너 목록에서 지워진지 얼마 안 됐거든
다시 올라가고 싶어?
잠시만 기다려봐.","n. 리스트, 명단 v. 목록을 작성하다",F
72,60316,list,270,You just got off the list.,BB505,654147,655914,you just got off list,./bigbang,F,8,list,12,9,3,"if Leonard goes to Wil Wheaton's party?
Wil Wheaton is Sheldon's mortal enemy.
Mortal enemy?
Mm-hmm. Sheldon, I know you're a bit
of a left-handed monkey wrench, but...
you really have a mortal enemy?
In fact, I have 61 of them.
Would you like to see the list?
Oh, say no, say no, say no, say no.","Would you like back on it?
This'll just take a moment.
It's on a five and a quarter inch floppy.","무슨 차이가 있어?
윌 위튼은 쉘든의 불구대천지원수야
불구대천지원수?
쉘든, 네가 비현실적으로
괴짜라는 건 알지만...
진짜 그 정도의 적(enemy)이 있어?
정확히 말하면 61명이 있지
61명 목록 한번 볼래?
Oh, 아니라고 말 해 아니라고 말 해.","다시 올라가고 싶어?
잠시만 기다려봐.
5.25인치 디스켓에 있어.","n. 리스트, 명단 v. 목록을 작성하다",F
73,60338,list,275,"Well, I started the list when I was nine.",BB505,671581,675166,well i started list when i was nine,./bigbang,F,8,list,13,6,4,"Oh, say no, say no, say no, say no.
You just got off the list.
Would you like back on it?
This'll just take a moment.
It's on a five and a quarter inch floppy.
A floppy disk?","How did Wil Wheaton get on the list?
Oh! Oh, God! - Oh! Come on!
As a child, I loved Wesley Crusher,
Wil Wheaton's character on  Star Trek.","Oh, 아니라고 말 해 아니라고 말 해.
너 목록에서 지워진지 얼마 안 됐거든
다시 올라가고 싶어?
잠시만 기다려봐.
5.25인치 디스켓에 있어.
디스켓?","윌 위튼은 어쩌다 거기 올라간거야?
아 제발! - 안돼!
어렸을 때 난 ""스타트렉""에서
윌 위튼의 캐릭터 Wesley Crusher를 좋아했지","n. 리스트, 명단 v. 목록을 작성하다",F
74,60349,list,276,How did Wil Wheaton get on the list?,BB505,675168,677402,how did wil wheaton get on list,./bigbang,F,8,list,14,5,3,"Would you like back on it?
This'll just take a moment.
It's on a five and a quarter inch floppy.
A floppy disk?
Well, I started the list when I was nine.","Oh! Oh, God! - Oh! Come on!
As a child, I loved Wesley Crusher,
Wil Wheaton's character on  Star Trek.","다시 올라가고 싶어?
잠시만 기다려봐.
5.25인치 디스켓에 있어.
디스켓?
아홉 살 때부터 목록을 만들었거든.","아 제발! - 안돼!
어렸을 때 난 ""스타트렉""에서
윌 위튼의 캐릭터 Wesley Crusher를 좋아했지","n. 리스트, 명단 v. 목록을 작성하다",F
75,60435,list,291,"congratulations, you just made the list.",BB505,710654,713872,congratulations you just made list,./bigbang,F,8,list,15,8,2,"But he never showed, because
apparently, it was cooler for him
to be the lower-left corner on  Hollywood Squares.
Oh, damn!
The floppy failed.
Well,
whoever was in charge of quality control
at the Verbatim Corporation in 1989,","Howard?
Change your mind about sex?","그렇지만 그는 나타나지 않았어
분명히 그는 Hollywood 광장의
왼쪽 아래 모퉁이에 있는 게 더 좋았나 보지
아 이런!
디스켓이 고장났어
흠
1989년에 Verbatim Corporation에서
품질관리를 맡으신 바로 당신","하워드?
지금은 하고 싶어?","n. 리스트, 명단 v. 목록을 작성하다",F
76,61493,list,476,Your name on my list.,BB505,1214735,1216936,your name on my list,./bigbang,F,8,list,16,10,2,"Remember how we used to make these things look
like they were masturbating?
Brent Spiner, what have you done?!
That was an original mint-in-package
Wesley Crusher action figure
signed by my close personal friend, Wil Wheaton.
Sorry, Slim.
I've got some Mr. Data dolls in the trunk of my car.
You want me to sign one for you?
You've already signed something, Brent Spiner.","From this moment on, you are my mortal enemy.
Don't worry. It doesn't take up a whole lot of your time.","얘네가 DDR중인 거처럼
낙서했던거 기억나?
Brent Spiner, 뭐하는 짓이에요
그건 Wesley Crusher 액션피겨
풀패키지 진품이란 말입니다
내 친한 친구 윌 위튼이  싸인까지 한건데
미안해 멀대 같은 놈아
내 차 트렁크에  Mr.Data 인형있는데
싸인해서 갖다 줄까?
당신 이름 벌써 싸인됐거든요  Brent Spiner","지금 이 순간부터,  당신은 나의 적입니다
걱정마세요 별거 아니에요","n. 리스트, 명단 v. 목록을 작성하다",F
77,62284,list,117,I'll make you a list.,BB506,366198,368917,i'll make you list,./bigbang,F,8,list,17,6,2,"Rajesh, my mother. - Of course.
Mrs. Cooper. So nice to see you again.
Well, it's so nice to see you, too.
I thought it was our Indians
that had the occasional alcohol problem.
We don't say that, either.","Oh, that would be mighty white of you.
So, Raj, what pain are you trying","라지, 우리 엄마야
또 만나서 반가워요
그래, 나도 반가워
술 문제로 속 썩이는 건
우리 쪽 인디언 아니였니?
그렇게 말씀하시면 안돼요","역시 백인이 최고야
어떤 아픔이 있길래","n. 리스트, 명단 v. 목록을 작성하다",F
78,72914,list,136,That's quite a list.,BB511,418387,420287,that's quite list,./bigbang,F,8,list,18,8,5,"You know, I can really do this by myself.
Hey, we're here to support you, buddy.
No, you're not. You're here to see
if I get my underwear pulled over my head.
(laughing): You wore underwear? You fool.
So, have you figured out what you're going to say to him?
You bet. I am going to make him apologize
for all the crap he pulled on me in school.","I can't read your handwriting.
What's that word?
""Scrotum.""
What's that one?
Uh, ""stapled.""","이봐, 혼자 둬도 괜찮다니까
널 응원하러 왔어
아니, 그런 것 같지 않아
머리통이 속옷으로 덮히는 걸 구경하러 왔겠지
속옷을 입었어? 멍청이
무슨 말 할지 생각했어?
사과하게 만들 거야
학창 시절에  날 괴롭힌 것에 대해","뭐라고 쓴 건지 모르겠다
무슨 단어야?
음낭
이건?
스테이플러","n. 리스트, 명단 v. 목록을 작성하다",F
79,73289,list,206,This is a list of your heinous acts against Leonard.,BB511,602137,605238,this is list of your heinous acts against leonard,./bigbang,F,8,list,19,5,2,"I think what he's trying to say is that maybe in high school
A little bit?
The man Super Glued Hershey's Kisses to your nipples.
That's funny because those aren't the kind of kisses
What is that?","One of which is certainly the cause of him wetting his bed
14 is not... Aw, never mind.","고등학교 때 너가 날 조금 괴롭혔잖아
조금?
유두에 허쉬 키세스 초콜릿을 접착제로 붙여놓았다며
유두에 받아야할 키스는 다른 종류라고
그건 뭐야?","청소년기까지 오줌을  못 가리는 원인도 있어
14살은 그래도... 아냐, 됐다","n. 리스트, 명단 v. 목록을 작성하다",F
80,8327,suggest,248,"may I suggest one potato, two potato?",BB202,869113,870967,may i suggest one potato two potato,./bigbang,F,9,suggest,10,4,2,"Hey, fellow scientists...

Why don't we all move over there so Leslie can join us?
If you're having trouble deciding where to sit,","Or as I call it, ""the Leslie Winkle experimental methodology.""
Don't make this hard for me. - It's not hard.","안녕, 동료 과학자들
쉘든도 안녕
레즐리도 같이 앉게 저기로 옮길까? - 그래
어디 앉아야할지 고민된다면","레즐리 윙클의 실험 방법론이라 말해야 알아들으려나?
날 힘들게 만들지 마 - 힘들지 않아",v. 제안하다,F
81,28365,suggest,113,May I suggest it as the topic for your... essay.,BB213,393641,396673,may i suggest as topic for your essay,./bigbang,F,9,suggest,11,6,2,"Don't worry, in deference to you, I've kept them on a high school graduate reading level.
Thanks pal.
You got it...
Buddy.
Sheldon honey, did you ever consider making friends by being, I don't know, pleasant?
Well that's certainly a thought-provoking hypothesis.","(Tuts)
Your questionnaire, very disappointing.","걱정마. 너를 고려해서 고졸자 수준의 문장으로 썼어
고맙다 친구야
그래...
친구야.
Sheldon, 난 잘 모르겠는데, 친구 사귀는 게... 좋니?
음 그건 확실히 생각을 자극하는 가설인데.","(혀를 찬다)
니 설문지... 참 실망이야",v. 제안하다,F
82,32914,suggest,96,"Well, there are studies that suggest that many who go into",BB215,251400,253900,well there are studies that suggest that many who go into,./bigbang,F,9,suggest,12,6,1,"Yeah, Leonard mentioned you were a psychiatrist.
Well, that is one of my degrees.
My primary field is neuroscience.
Well, I'm an actress.
Why?
What do you mean why?",the performing arts suffer from an external locus of identity.,"네.. 레너드가 정신병의사라고 말했던것 같아요
음, 그건 내 학위 중 하나란다
내 전공은 신경과학이야
음, 저는 배우에요
왜?
무슨뜻이죠?",고통고 있다는 연구 결과가 있어,v. 제안하다,F
83,52262,suggest,391,I suggest you keep,BB223,1152650,1153910,i suggest you keep,./bigbang,F,9,suggest,13,6,3,"Damn it.
What?
We're out of ice.
All right, men, we begin initial assembly
and deployment of the testing equipment
but until then, you are all off duty.","as medical help is 18 hours away by dogsled.
What are you working on?
Crossbow.","이런,
왜?
얼음이 다 떨어졌어
좋아 모두, 내일 0700시에
장비의 조립, 배치를 하기로 한다
그리고 그때까지는 휴식","의료적 조력을 받을려면 개썰매로 18시간을 가야하니 말이야
뭐 만들고있어?
석궁",v. 제안하다,F
84,56135,suggest,243,"Okay, fine, what do you suggest?",BB503,788042,790460,okay fine what do you suggest,./bigbang,F,9,suggest,14,7,2,"I'm not moody.
I'm fun.
You have any evidence to support that statement?
Well, hey, I'm just as much fun as you are.
Really? Are you willing to draw a mustache on your finger
as a conversational icebreaker?
I am.","the band... is on fire...
and you're sitting next to a beautiful woman","난 감상적이지 않아
난 재밌어
네 주장을 뒷받침할 어떤 증거라도 있어?
나도 너만큼이나 재밌어
정말로? 너라면 손가락에 가짜 수염을 그리고
남을 웃겨줄 수 있어?
난 할 수 있어","연주도... 끝내주는데
네 바로 옆에는 아름다운 여인이",v. 제안하다,F
85,63300,suggest,283,Are you trying to suggest that my emotional problems,BB506,858777,861861,are you trying to suggest that my emotional problems,./bigbang,F,9,suggest,15,8,3,"Are you sure? The infant-mother pair-bond
Oh, there it is.
It always comes back to monkeys with you.
Just monkeys, monkeys, monkeys.
Sheldon, we're all animals.
And granted, there are aspects of you that are extraordinary,
but when it comes to emotions and relationships,
you're just like everybody else.","are no different than those of a stupid person?
Actually, some research indicates
that by not overthinking,","확실해? 모아관계는  영장류 심리학의 기본이야
그럼 그렇지
넌 항상 원숭이 타령이야
원숭이, 원숭이, 원숭이
쉘든, 우리는 동물이야
네가 어떤 면으로는  특별하기도 한데
감정이랑 관계에서는
누구나 다 똑같아","바보랑 같은 수준이라는 거야?
어떤 연구에 의하면
지적 능력이 낮은 사람들이  감정을 더 잘 다스린대",v. 제안하다,F
86,70544,suggest,75,"And if I may suggest,",BB510,237261,239029,and if i may suggest,./bigbang,F,9,suggest,16,5,4,"I know what this is about.
Given the professional standstill you're at,
you're wondering if this is the appropriate time
to abandon your research and focus on teaching.
Yes.","consider changing disciplines.
Yeah, to the humanities-- perhaps history.
One of the advantages of teaching history
is that you don't have to create things.","무슨 얘기 하려는지 알아
연구에 아무런 진전이 없어서
적절한 시기인지 고민 중이잖아
연구를 포기하고  가르치는 일에 집중할지
적절해","전공을 바꾸는 건 어때
인문학으로, 역사학도 괜찮고
역사를 가르치는 것의 장점은
꾸며낼 필요가 없다는 거야",v. 제안하다,F
87,99626,suggest,193,What I was going to suggest is if that you're willing to wait,BB524,668460,671128,what i was going to suggest is if that you're willing to wait,./bigbang,F,9,suggest,17,4,3,"Will you shut up?
Well, I know how to make it special.
I told you we are not recreating the wedding
Yes, you made that brutally clear to me.","until Sunday morning, the Google satellite
You can have your wedding photographed from space.
PENNY: Oh... That's so cool.","좀 닥칠래?
특별한 결혼식이 떠올랐어
'사운드 오브 뮤직'에  나온 장면을 따라하기 싫다고
응, 그건 잘 알아들었어","구글 위성이 마침 패서디나를 지나갈 거야
우주에서 찍은 결혼식 사진이 남을 거야
멋지다",v. 제안하다,F
88,19765,suggests,96,"and history suggests you will,",BB209,340775,343359,and history suggests you will,./bigbang,F,9,suggest,18,6,1,"Do you understand that this was supposed to be a date?
I do. Do you?
Because frankly, you've been in a foul mood since I sat down.
Okay, here's my question.
Why did you sit down?
To help. Look, if you fail at this relationship,",then we risk losing the medical officer that our landing party has always needed.,"오늘이 내 데이트라는 거 알고 있어?
당연하지, 넌 아는 거 맞아?
솔직히 내가 앉은 뒤부터 뭐 씹은 표정이더라
그게 내가 궁금하던 거야
도대체 왜 거기 앉은 거야?
도와주려고 그랬지 만약에 이번에도 깨지면",우리 착륙 부대에 항상 필요했던 군의관을 잃게 되는 거라고,v. 제안하다,F
89,31753,suggests,249,Because your proposal suggests that you don't.,BB214,902920,905650,because your proposal suggests that you don't,./bigbang,F,9,suggest,19,6,2,"Here.
You guys are unbelievable.
You play a game to simulate adventure,
but when there's real adventure out there in the real world, you just wimp out.
Leonard, do you not recall the last time we visited this gentleman, we returned home without pants?
I do. - Are you sure?","I'm not afraid of him. - All right. Leonard fairly calls the question:
Who is in favor of abandoning our game and confronting Penny's steroid-infused ex-boyfriend","여기
진짜 어이없다
니넨 모험을 시뮬레이션 하는 게임은 하는데
현실 세계에 진짜 모험이 있으면 니넨 겁쟁이가 되지
Leonard, 너 그 사람한테 갔을 때 바지 안 입고 집에 온 거 기억 안나?
기억 나지 - 진심이야?","나 그 사람 안 무서워 - 그래 Leonard가 이런 질문을 제안하는 거 같은데
누가 우리의 게임을 망치고 싶어하고 스테로이드 맞은 페니 전 남친이랑 싸우려고 하고",v. 제안하다,F
90,11255,apologize,71,We're going to apologize to Raj and invite him out to dinner.,BB204,271448,274280,we're going to apologize to raj and invite him out to dinner,./bigbang,F,10,apologize,10,5,2,"There's my missing neutrino.
You were hiding from me as an unbalanced charge,
weren't you, you little sub-atomic dickens?
Hey, look, I found my missing neutrino.
Oh good, we can take it off the milk carton.","Apologize for what?
He came over last night with some pretty good news and we weren't very supportive.","사라진 뉴트리노가 여기 있었네
전하량 보존이 안 되던 곳에 숨어있었구나
그렇지, 이 소립자 악마야?
이것 좀 봐, 사라진 뉴트리노를 찾았어
이제 우유팩을 뜯어도 되겠구나","무슨 사과?
어제 저녁에 좋은 일 있다고 왔는데 같이 축하해주지 못 했잖아",v. 사과하다,F
91,11264,apologize,72,Apologize for what?,BB204,274280,276208,apologize for what,./bigbang,F,10,apologize,11,6,2,"There's my missing neutrino.
You were hiding from me as an unbalanced charge,
weren't you, you little sub-atomic dickens?
Hey, look, I found my missing neutrino.
Oh good, we can take it off the milk carton.
We're going to apologize to Raj and invite him out to dinner.","He came over last night with some pretty good news and we weren't very supportive.
I sense you're trying to tell me something.","사라진 뉴트리노가 여기 있었네
전하량 보존이 안 되던 곳에 숨어있었구나
그렇지, 이 소립자 악마야?
이것 좀 봐, 사라진 뉴트리노를 찾았어
이제 우유팩을 뜯어도 되겠구나
라지한테 가서 사과하고 저녁 같이 먹자고 할 거야","어제 저녁에 좋은 일 있다고 왔는데 같이 축하해주지 못 했잖아
나한테 무슨 말을 하려는 예감이 드는데",v. 사과하다,F
92,18262,apologize,176,"So just apologize to him, okay?",BB207,610994,613699,so just apologize to him okay,./bigbang,F,10,apologize,12,5,3,"Can I talk to you for a minute?
Here's the thing.
I talked to Sheldon and he feels terrible
and he agrees that he was  unreasonable and out of line.
Really? That's great.","What? I'm not going to apologize   to that nutcase.
Come on. It's easy.  He'll even tell you what to say.
Don't you get it? If you guys  keep going along with his insanity,","따로 이야기 좀 해요
있잖아요
쉘든이랑 이야기했는데요  쉘든도 기분이 좋지 않았대요
자기 자신이 정말 터무니없고  정도가 지나쳤다고 인정했어요
그래요? 잘됐네요","저따위 인간한테는 사과 안 할 거예요
별거 아니잖아요, 페니가 무슨 말을  해야 하는지 알아서 다 말해줄 거예요
계속해서 쉘든의  미친 짓거리를 다 받아주는 건",v. 사과하다,F
93,18271,apologize,177,What? I'm not going to apologize   to that nutcase.,BB207,613699,616107,what i'm not going to apologize  to that nutcase,./bigbang,F,10,apologize,13,5,3,"Here's the thing.
I talked to Sheldon and he feels terrible
and he agrees that he was  unreasonable and out of line.
Really? That's great.
So just apologize to him, okay?","Come on. It's easy.  He'll even tell you what to say.
Don't you get it? If you guys  keep going along with his insanity,
you're just encouraging him.  - We're not encouraging.","있잖아요
쉘든이랑 이야기했는데요  쉘든도 기분이 좋지 않았대요
자기 자신이 정말 터무니없고  정도가 지나쳤다고 인정했어요
그래요? 잘됐네요
그러니까 쉘든한테 사과해요","별거 아니잖아요, 페니가 무슨 말을  해야 하는지 알아서 다 말해줄 거예요
계속해서 쉘든의  미친 짓거리를 다 받아주는 건
그 행동들을 부추기는 거예요  - 부추기는 게 아니에요",v. 사과하다,F
94,18322,apologize,182,"I like hanging out with you,  but I'm not gonna apologize for something I didn't do.",BB207,629620,633379,i like hanging out with you but i'm not gonna apologize for something i didn't do,./bigbang,F,10,apologize,14,6,2,"So just apologize to him, okay?
What? I'm not going to apologize   to that nutcase.
Come on. It's easy.  He'll even tell you what to say.
Don't you get it? If you guys  keep going along with his insanity,
you're just encouraging him.  - We're not encouraging.
It's more like...  knuckling under.","Well, actually, technically,  you did do it.
That's strike one, Leonard.","그러니까 쉘든한테 사과해요
저따위 인간한테는 사과 안 할 거예요
별거 아니잖아요, 페니가 무슨 말을  해야 하는지 알아서 다 말해줄 거예요
계속해서 쉘든의  미친 짓거리를 다 받아주는 건
그 행동들을 부추기는 거예요  - 부추기는 게 아니에요
그것보다는..  굴복한 쪽에 가깝죠","정확히 따지면 페니가 하긴 했어요
레너드, 원 스트라이크예요",v. 사과하다,F
96,18813,apologize,265,Get them down.  - Apologize.,BB207,945915,947348,get them down  apologize,./bigbang,F,10,apologize,16,5,2,"and a brassiere caught my eye.
Do those look familiar?
How the hell did you get them up  on that telephone wire?
When you understand  the laws of physics,
And may I add: mwuh-ha-ha.","
Wait, Sheldon,  this has gotten out of hand, okay?","브래지어가 눈에 확 들어오더군요
혹시 페니 건가요?
도대체 어떻게 전화선 위에  올려놓은 거예요!
물리의 법칙들을 이해한다면  불가능한 건 없죠
한마디 더 붙이자면  '음하하'","그렇다면 긴 막대기를 구해서  팬티 <font color=#6AC793>피냐타</font>를 해야겠네요
쉘든, 이제 일이 너무 커졌어요",v. 사과하다,F
97,19065,apologize,310,Why should I have to apologize?,BB207,1116830,1118917,why should i have to apologize,./bigbang,F,10,apologize,17,5,2,"But, Mom...
she keeps sitting in my spot.
And she touched my food.
Okay, yes, I took her clothes,  but she started it...
No, that's not fair.","I don't think this is the kind of thing  Jesus concerns himself with.
No, you're right.","엄마, 그래도..
계속 내 자리에 앉잖아요
그리고 내 음식 건드렸어요
페니 옷은 내가 그랬지만  페니가 먼저 시작했다고요
그건 불공평하잖아요!","이런 일로 예수님이  고민하시지는 않을 거예요
예수님이 무슨 생각하시는지  내가 어떻게 알겠어요",v. 사과하다,F
98,20576,apologize,214,I apologize.,BB209,818703,820711,i apologize,./bigbang,F,10,apologize,18,5,5,"Penny.
Zucchini bread.
Thank you. - May I come in?
No.
I see. Apparently, my earlier inquiry regarding you and Leonard crossed some sort of line.","Well, thank you.
Have you and I returned to a social equilibrium?
Yes. - Great.
New topic.
Where are you in your menstrual cycle?","페니
호박빵이에요
고마워요 - 들어가도 돼요?
아뇨
페니와 레너드 사이의 일을 내 질문이 일정 선을 넘었나 보군요","고마워요
그럼 사회적 균형상태로 돌아온 건가요?
네 - 좋아요
새로운 주제예요
지금 생리 주기는 어느 시점이에요?",v. 사과하다,F
99,26385,apologize,150,I need you to apologize to How... - Get out.,BB212,553205,556044,i need you to apologize to how get out,./bigbang,F,10,apologize,19,4,3,"If you're not there, you'll be exposed to widicule.
I'm curious, what part of America is that accent from?
You got a minute? - Yeah, come on in.
What's up?","Come on. He won't come out of his house and we need him for a robot battle.
Well, then have the robot go and get him.
The robot didn't hurt his feelings.","안 오면 제대로 옹담거리로 만들어 주지
도대체 저건 미국 어느 동네 사투리야?
잠깐 시간 있어요? - 네, 들어와요
무슨 일인데요?","로봇 시합이 있는데 하워드가 집에서 나오질 않아요
그럼 로봇 가지고 가서 들이대요
로봇 때문에 감정 상한 게 아니잖아요",v. 사과하다,F
101,14074,return,136,"Plus, we have to go to Pottery Barn and return my Star Wars sheets.",BB205,494489,498193,plus we have to go to pottery barn and return my star wars sheets,./bigbang,F,11,return,11,5,2,"Where are you going? - I'm taking you home.
But I'm not going home. It's Wednesday.
Wednesday's new comic book day. We have to go to the comic book store.
Then, we have to stop at Souplantation; it's creamy tomato soup day.
And Radio Shack. There's a sale on triple-A batteries.","I have a better idea.
You want to go to Pottery Barn first?","어디로 가는 거야? - 네희 집에 데려다주려고
그런데 난 지금 집에 안 가 수요일이잖아
수요일은 신간 만화책의 날이야 만화책 가게에 가야 해
그리고 수플랜테이션에도 가야해 토마토 크림 수프의 날이거든 <font color=#6AC793>(식당 체인, 1x05 참조)
그리고 라디오섀크에도 AAA건전지 세일 중이야 <font color=#6AC793>(전자용품 판매점)","더 좋은 생각이 있어
포터리 반에 먼저 가려고?","v. 돌려주다, 반납하다",F
102,16657,return,235,I see man after man leaving this apartment never to return.,BB206,900685,904541,i see man after man leaving this apartment never to return,./bigbang,F,11,return,12,6,2,"and I need you to help me get rid of her.
Get rid of her how?
I don't know,
but apparently I'm in some kind of relationship,
and you seem to be an expert at ending them.
Excuse me?","Okay, first of all, it is not man after man.
Dr. Cooper? - Hide me.","라모나를 제거하는 데 페니의 도움이 필요해요
어떻게 제거해요?
글쎄요
분명한 건 지금 전 이성과 관계를 하고 있고
페니는 그 관계를 끊는 전문가잖아요
뭐라고요?","먼저요, 남자가 끊이지 않은 건 아니에요
쿠퍼 박사님? - 숨겨줘요","v. 돌려주다, 반납하다",F
103,24061,return,127,You don't have to get me anything in return.,BB211,394457,396665,you don't have to get me anything in return,./bigbang,F,11,return,13,5,3,"I know you think you're being generous,
but the foundation of gift-giving is reciprocity.
You haven't given me a gift. You've given me an obligation.
Don't feel bad, Penny, it's a classic rookie mistake.
My first Hanukah with Sheldon, he yelled at me for eight nights.","Of course I do.
The essence of the custom is that I now have to go out and purchase for you
and representing the same perceived level of friendship","이웃한테 잘해주는 건 좋은데요
선물을 주고받는 행위는 상호적인 데 기반을 두고 있어요
페니는 나한테 선물을 주는 게 아니라 의무를 주는 거예요
기분 나빠하지 마요 쉘든한테 누구나 하는 실수예요
쉘든과 처음 하누카를 보낼 때는 8일 내내 저한테 소리쳤거든요","당연히 줘야죠
선물 주고받는 행위의 본질에 따르면 나한테 준 선물과 같은 우정의 정도를 나타내는
선물이나 물적 가치를 내가 사야 한다는 거죠","v. 돌려주다, 반납하다",F
104,24944,return,257,and then I'll return the others for a full refund.,BB211,857284,860516,and then i'll return others for full refund,./bigbang,F,11,return,14,7,3,"Yippee.
You see, the danger was that I might under or over-reciprocate,
but I have devised a foolproof plan.
See, I will open her gift to me first
and then excuse myself, feigning digestive distress, then...
I'll look up the price of her gift online,
choose the basket closest to that value,","Brilliant.
It is, isn't it?
Is it okay if I hide them in your room?","만세
내 선물이 너무 과하거나 부족할 위험이 있어서
그래서 완벽한 수단을 생각해냈지
우선 페니의 선물을 내가 먼저 열어보고
소화불량이라고 속이고 자리를 뜨는 거야
페니의 선물을 인터넷으로 가격을 알아보고
그 가격이랑 비슷한 바구니를 페니한테 주는 거지","대단한데
그러니까, 완벽하지?
네 방에 숨겨놔도 괜찮겠어?","v. 돌려주다, 반납하다",F
105,36844,return,9,"He offers to stand by his equipment, and we in return",BB217,24570,27510,he offers to stand by his equipment and we in return,./bigbang,F,11,return,15,7,3,"Stop.
We can't do this. It's not right.
Sheldon, you have two choices.
ther you let him put a bigger hard drive in the TiVo,
or you delete stuff before we go out of town.
But once you open the box, you've voided the warranty.
The warranty is a sacred covenant we've entered into with the manufacturer.","agree not to violate the integrity of the internal hardware.
This little orange sticker is all that stands between us and anarchy.
","잠깐
하지마 이건 옳지 않아
쉘든 두가지 길이 있어
티보 안에 더 큰 하드 드라이브를 집어넣게 하거나
마을로 나가기 전에 안의 내용을 다 지우는거지
하지만 박스를 열게 되면 보증이 무효가 되
보증, 그것은 제조자에게로 연결되는 성스러운 맹약이지","하드웨어의 통일성을 해치지 않는다는 약속을 하면서말이야
이 작은 오렌지색 스티커가 우리를 갈라놓는 유일한 존재야
혼돈으로부터","v. 돌려주다, 반납하다",F
106,42348,return,172,I've been working on admiral ackbar from return of the jedi.,BB219,453630,456600,i've been working on admiral ackbar from return of jedi,./bigbang,F,11,return,16,7,2,"This one's a player, huh?
Oh, yeah, be careful.
Thanks for the warning. okay.
I'll see you around. -see ya.
I'm dressed like a slob today, too.
Oh, mimicry.
I enjoy mimicry.","""it's a trap.""
You have to imagine me with a giant squid head.","완전 선수아니에요? ㅎㅎ
네, 조심하세요
경고고마워요
그럼 또 봐요 - 또 봐요
""나도 오늘 너저분하게 입었는걸요""
오오 성대모사
나 성대모사 좋아하는데","""함정이야.""
그 커다란 오징어대가리를 상상하며 들어봐.","v. 돌려주다, 반납하다",F
107,58719,return,325,"No, I think we'll have to return the car.",BB504,1071138,1074107,no i think we'll have to return car,./bigbang,F,11,return,17,4,3,"Well, he's going to find out eventually.
Think about it.
My parents are making me choose between money and you.
I choose you.","And that necklace, yeah, that, too.
But none of those things matter,
because we have something better.","언젠가는 알게 될텐데 뭘
더 생각해봐
계속 사귀면  용돈 없을 거래
난 네가 더 중요해","응, 목걸이도
그런 건 중요하지 않아
우리도 소중한 재산이 있어","v. 돌려주다, 반납하다",F
108,69622,return,288,"Okay. Then I'll return the favor, and I won't tell...",BB509,934568,938402,okay then i'll return favor and i won't tell,./bigbang,F,11,return,18,6,2,"he owns, not one, but two Star Trek uniforms?
Really? - Yeah. Wears them.
Not just for Halloween.
Hey, pal.
You didn't see me telling Kevin that you thought
cold wars were only fought in winter.","Laura. - ...Laura
that half the dirty movies you own are animated.","스타트렉 유니폼이 두 개나 있다고요
정말요? - 네, 입기도 하죠
할로윈에만  그러는게 아니에요
친구야
내가 케빈한테  이런 짓은 안 했잖아
넌 냉전이 겨울에만 일어나는 줄 알았다고","로라 - 로라
네가 가진 성인물의 반 이상이 애니메이션이란 걸","v. 돌려주다, 반납하다",F
109,71041,return,169,"I want to return this ""Wild West and Witches""",BB510,506232,509534,"i want to return this ""wild west and witches""",./bigbang,F,11,return,19,8,3,"Where's Stuart?
Out.
Who are you?
I'm Dale.
He left me in charge.
Really?
Yeah.
I don't get it, either.","Sorry. I don't do returns.
They're hard.
Sure, sure.","스튜어트 어딨어요?
나갔어요
누구시죠?
데일이라고 해요
가게를 저한테 맡겼어요
정말요?
네
저도 이유를 모르겠어요","반품은 제 담당이 아니에요
너무 어려워요
그래요","v. 돌려주다, 반납하다",F
110,6887,fair,0,Worst. Renaissance. Fair. Ever.,BB202,1882,4756,worst renaissance fair ever,./bigbang,F,12,fair,10,0,2,,"Please let it go, Sheldon.
It was rife with historical inaccuracies.",,"쉘든, 그냥 잊어버려
역사적인 고증 따위는 하나도 없잖아",adj. 괜찮은; 공정한,F
